,Unnamed: 0,travel_time,itinerary,price,airlines,provider,duplicate
67,67,1493.0,AA6162||AA1249|AA6137,667.92,AA,Alternate,False
68,68,1449.0,AA6162||AA2552|AA6171,667.92,AA,Alternate,False
71,71,1471.0,AA0039||AA1556|AA6137,667.92,AA,Alternate,False
79,79,1479.0,AA6124||AA1803|AA6192,667.92,AA,Alternate,False
80,80,1456.0,AA6124||AA1556|AA6137,667.92,AA,Alternate,False
82,82,1410.0,AA0039||AA1989|AA6167,667.92,AA,Alternate,False
84,84,1445.0,AA0039||AA0029|AA6200,667.92,AA,Alternate,False
85,85,1494.0,AA0039||AA1803|AA6192,667.92,AA,Alternate,False
86,86,1435.0,AA0039||AA1947|AA6163,667.92,AA,Alternate,False
90,90,1430.0,AA6124||AA0029|AA6200,667.92,AA,Alternate,False
93,93,1456.0,AA6162||AA1556|AA6137,667.92,AA,Alternate,False
97,97,1395.0,AA6162||AA1989|AA6167,667.92,AA,Alternate,False
98,98,1395.0,AA6124||AA1989|AA6167,667.92,AA,Alternate,False
102,102,1449.0,AA6124||AA2552|AA6171,667.92,AA,Alternate,False
103,103,1479.0,AA6162||AA1803|AA6192,667.92,AA,Alternate,False
117,117,1323.0,BA1528||AA0251|AA6141,703.92,AA|BA,Alternate,False
118,118,1360.0,IB7399||AA0376|AA6216,703.92,AA|IB,Alternate,False
119,119,1302.0,IB7399||AA2572|AA6145,703.92,AA|IB,Alternate,False
120,120,1308.0,IB7399||AA0251|AA6141,703.92,AA|IB,Alternate,False
121,121,1360.0,IB7328||AA0376|AA6216,703.92,AA|IB,Alternate,False
122,122,1302.0,IB7328||AA2572|AA6145,703.92,AA|IB,Alternate,False
123,123,1308.0,IB7328||AA0251|AA6141,703.92,AA|IB,Alternate,False
124,124,1375.0,IB4228||AA0376|AA6216,703.92,AA|IB,Alternate,False
125,125,1317.0,IB4228||AA2572|AA6145,703.92,AA|IB,Alternate,False
126,126,1323.0,IB4228||AA0251|AA6141,703.92,AA|IB,Alternate,False
127,127,1360.0,BA0211||AA0376|AA6216,703.92,AA|BA,Alternate,False
128,128,1302.0,BA0211||AA2572|AA6145,703.92,AA|BA,Alternate,False
129,129,1308.0,BA0211||AA0251|AA6141,703.92,AA|BA,Alternate,False
130,130,1360.0,BA0209||AA0376|AA6216,703.92,AA|BA,Alternate,False
131,131,1302.0,BA0209||AA2572|AA6145,703.92,AA|BA,Alternate,False
132,132,1308.0,BA0209||AA0251|AA6141,703.92,AA|BA,Alternate,False
133,133,1375.0,BA1528||AA0376|AA6216,703.92,AA|BA,Alternate,False
134,134,1317.0,BA1528||AA2572|AA6145,703.92,AA|BA,Alternate,False
136,136,1350.0,IB7399||AA1276|AA0020,713.92,AA|IB,Alternate,False
137,137,1350.0,IB7328||AA1276|AA0020,713.92,AA|IB,Alternate,False
138,138,1365.0,IB4228||AA1276|AA0020,713.92,AA|IB,Alternate,False
139,139,1350.0,BA0211||AA1276|AA0020,713.92,AA|BA,Alternate,False
140,140,1365.0,BA1528||AA1276|AA0020,713.92,AA|BA,Alternate,False
141,141,1456.0,AA6162||AA1221|AA6236,713.92,AA,Alternate,False
142,142,1456.0,AA6124||AA1221|AA6236,713.92,AA,Alternate,False
