,Unnamed: 0,travel_time,itinerary,price,airlines,provider
135,135,1394.0,AA0039||AA0293|AA6192,667.92,AA,Baseline
136,136,1315.0,AA0039||AA0029|AA6163,667.92,AA,Baseline
137,137,1340.0,AA6124||AA1159|AA6196,667.92,AA,Baseline
138,138,1358.0,AA6124||AA1199|AA6150,667.92,AA,Baseline
139,139,1362.0,AA6124||AA1618|AA6171,667.92,AA,Baseline
140,140,1420.0,AA6124||AA1947|AA6163,667.92,AA,Baseline
141,141,1405.0,AA6124||AA2303|AA6196,667.92,AA,Baseline
142,142,1308.0,AY5408||AA0251|AA6141,692.92,AA|AY,Baseline
143,143,1360.0,AY5509||AA0376|AA6216,692.92,AA|AY,Baseline
144,144,1302.0,AY5509||AA2572|AA6145,692.92,AA|AY,Baseline
145,145,1308.0,AY5509||AA0251|AA6141,692.92,AA|AY,Baseline
146,146,1360.0,AY5408||AA0376|AA6216,692.92,AA|AY,Baseline
147,147,1375.0,AY4029||AA0376|AA6216,692.92,AA|AY,Baseline
148,148,1317.0,AY4029||AA2572|AA6145,692.92,AA|AY,Baseline
149,149,1323.0,AY4029||AA0251|AA6141,692.92,AA|AY,Baseline
150,150,1302.0,AY5408||AA2572|AA6145,692.92,AA|AY,Baseline
151,151,1405.0,AY4029||AA1506|AA6137,697.42,AA|AY,Baseline
152,152,1390.0,AY5408||AA1506|AA6137,697.42,AA|AY,Baseline
153,153,1390.0,AY5509||AA1506|AA6137,697.42,AA|AY,Baseline
154,154,2395.0,AZ0209|AZ0630||AZ0631|AZ0204,701.64,AZ,Baseline
155,155,1365.0,AY4029||AA1276|AA0020,702.92,AA|AY,Baseline
156,156,1350.0,AY5408||AA1276|AA0020,702.92,AA|AY,Baseline
157,157,1416.0,AY5408||AA2550|AA0080,702.92,AA|AY,Baseline
158,158,1350.0,AY5509||AA1276|AA0020,702.92,AA|AY,Baseline
159,159,2063.0,UA0879|UA2146||UA0600|UA0110,707.42,UA,Baseline
160,160,1394.0,AY5408||AA1803|AA6173,747.42,AA|AY,Baseline
161,161,1394.0,AY5509||AA1803|AA6173,747.42,AA|AY,Baseline
162,162,1409.0,AY4029||AA1803|AA6173,747.42,AA|AY,Baseline
163,163,1640.0,OS0458|OS0097||OS7712|OS7850,756.64,OS,Baseline
164,164,1409.0,BA1528||AA1803|AA6173,758.42,AA|BA,Baseline
165,165,1394.0,BA0209||AA1803|AA6173,758.42,AA|BA,Baseline
166,166,1409.0,IB4228||AA1803|AA6173,758.42,AA|IB,Baseline
167,167,1394.0,IB7328||AA1803|AA6173,758.42,AA|IB,Baseline
168,168,1394.0,IB7399||AA1803|AA6173,758.42,AA|IB,Baseline
169,169,2217.0,DL4376|DL1415||DL1829|DL0018,782.42,DL,Baseline
170,170,1390.0,AY5509||AA2469|AA0078,782.92,AA|AY,Baseline
171,171,1254.0,AY5408||AA2457|AA0098,782.92,AA|AY,Baseline
172,172,1305.0,AY5408||AA2303|AA0046,782.92,AA|AY,Baseline
173,173,1095.0,AY4029||AY5405,782.92,AY,Baseline
174,174,1405.0,AY4029||AA2469|AA0078,782.92,AA|AY,Baseline
175,175,1269.0,AY4029||AA2457|AA0098,782.92,AA|AY,Baseline
176,176,1095.0,AA0039||AA6123,782.92,AA,Baseline
177,177,1254.0,AY5509||AA2457|AA0098,782.92,AA|AY,Baseline
178,178,1305.0,AY5509||AA2303|AA0046,782.92,AA|AY,Baseline
179,179,1390.0,AY5408||AA2469|AA0078,782.92,AA|AY,Baseline
180,180,1320.0,AY4029||AA2303|AA0046,782.92,AA|AY,Baseline
181,181,1409.0,AA0039||AA1803|AA6173,787.42,AA,Baseline
182,182,1394.0,AA6124||AA1803|AA6173,787.42,AA,Baseline
183,183,1394.0,AA6162||AA1803|AA6173,787.42,AA,Baseline
184,184,1595.0,EI0155|EI0141||EI0140|EI0286,789.09,EI,Baseline
185,185,1670.0,VS0005||VS1754|VS4018,797.92,VS,Baseline
186,186,1095.0,BA1528||BA0210,803.92,BA,Baseline
187,187,1095.0,IB4228||IB7329,803.92,IB,Baseline
188,188,1765.0,KL6076|KL5480||KL5942|KL4801,804.42,KL,Baseline
189,189,1358.0,AY4029||AA2569|AA6240,825.62,AA|AY,Baseline
190,190,1343.0,AY5408||AA2569|AA6240,825.62,AA|AY,Baseline
191,191,1343.0,AY5509||AA2569|AA6240,825.62,AA|AY,Baseline
192,192,1575.0,AF1681|AF0090||AF0099|AF1780,854.54,AF,Baseline
193,193,1090.0,AA0039||AA6159,922.92,AA,Baseline
194,194,1075.0,AA6162||AA6159,922.92,AA,Baseline
195,195,1410.0,AY4029||AA0112|AA6291,933.02,AA|AY,Baseline
196,196,1395.0,AY5408||AA0112|AA6291,933.02,AA|AY,Baseline
197,197,1395.0,AY5509||AA0112|AA6291,933.02,AA|AY,Baseline
198,198,1080.0,AA6160||AA6123,942.92,AA,Baseline
199,199,1075.0,AA6160||AA6159,942.92,AA,Baseline
0,0,2749.0,AA0021|AA2392||IB4210|IB4250,493.42,AA|IB,Alternate
1,1,2491.0,AA0733|AA0457||IB4210|IB4250,493.42,AA|IB,Alternate
2,2,2626.0,AA0731|AA0457||IB4210|IB4250,493.42,AA|IB,Alternate
3,3,2702.0,AA0051|AA1219||IB4210|IB4250,493.42,AA|IB,Alternate
4,4,2251.0,AA0039||IB4210|IB4250,493.42,AA|IB,Alternate
5,5,2651.0,AA0021|AA2206||IB4210|IB4250,493.42,AA|IB,Alternate
6,6,2236.0,AY5509||IB4210|IB4250,493.42,AY|IB,Alternate
7,7,2236.0,AA6162||IB4210|IB4250,493.42,AA|IB,Alternate
8,8,2251.0,AY4029||IB4210|IB4250,493.42,AY|IB,Alternate
9,9,2562.0,AA0021|AA1219||IB4210|IB4250,493.42,AA|IB,Alternate
10,10,2674.0,AA0081|AA2392||IB4210|IB4250,493.42,AA|IB,Alternate
11,11,2889.0,AA0051|AA2392||IB4210|IB4250,493.42,AA|IB,Alternate
12,12,2619.0,AA0079|AA2720||IB4210|IB4250,493.42,AA|IB,Alternate
13,13,2561.0,AA0733|AA2577||IB4210|IB4250,493.42,AA|IB,Alternate
14,14,2791.0,AA0051|AA2206||IB4210|IB4250,493.42,AA|IB,Alternate
15,15,2696.0,AA0731|AA2577||IB4210|IB4250,493.42,AA|IB,Alternate
16,16,2526.0,AA0731|AA0085||IB4210|IB4250,493.42,AA|IB,Alternate
17,17,2505.0,AA0173|AA1521||IB4210|IB4250,493.42,AA|IB,Alternate
18,18,2236.0,AY5408||IB4210|IB4250,493.42,AY|IB,Alternate
19,19,2824.0,AA0021|AA2720||IB4210|IB4250,493.42,AA|IB,Alternate
20,20,2576.0,AA0081|AA2206||IB4210|IB4250,493.42,AA|IB,Alternate
